country_id,sus_indicator_id,year,indicator_value,source_note
66,11,2015,2.5,WDI Data
66,12,2017,45.0,WDI Data
67,3,2017,99.5,WDI Data
67,4,2015,24.4,WDI Data
67,5,2015,0.1,WDI Data
67,7,2016,24.7,WDI Data
67,8,2017,6.4,WDI Data
67,9,2014,1.0,WDI Data
67,10,2018,2.2,WDI Data
67,11,2015,105.4,WDI Data
67,12,2017,33.8,WDI Data
68,3,2017,67.2,WDI Data
68,4,2015,7.8,WDI Data
68,6,2014,66.2,WDI Data
68,7,2016,54.5,WDI Data
68,9,2014,4.8,WDI Data
68,10,2018,1.8,WDI Data
68,12,2017,26.2,WDI Data
69,3,2017,48.4,WDI Data
69,4,2015,79.8,WDI Data
69,7,2016,48.7,WDI Data
69,9,2014,0.2,WDI Data
69,10,2018,3.0,WDI Data
69,12,2017,1.3,WDI Data
70,1,2017,93.3,WDI Data
70,2,2017,97.4,WDI Data
70,3,2017,100.0,WDI Data
70,4,2015,27.5,WDI Data
70,5,2015,1.5,WDI Data
70,7,2016,6.8,WDI Data
70,8,2017,15.2,WDI Data
70,9,2014,14.8,WDI Data
70,10,2018,19.5,WDI Data
70,11,2015,3.4,WDI Data
70,12,2017,88.1,WDI Data
71,3,2017,73.5,WDI Data
71,4,2015,66.1,WDI Data
71,5,2015,0.3,WDI Data
71,6,2014,32.7,WDI Data
71,7,2016,17.1,WDI Data
71,8,2017,0.8,WDI Data
71,9,2014,1.1,WDI Data
71,10,2018,4.2,WDI Data
71,11,2015,8.5,WDI Data
71,12,2017,47.0,WDI Data
72,1,2017,11.4,WDI Data
72,3,2017,44.3,WDI Data
72,4,2015,92.2,WDI Data
72,5,2015,0.3,WDI Data
72,6,2014,73.9,WDI Data
72,7,2016,39.2,WDI Data
72,8,2017,9.3,WDI Data
72,9,2014,0.1,WDI Data
72,10,2018,18.5,WDI Data
72,12,2017,18.6,WDI Data
74,3,2017,100.0,WDI Data
74,4,2015,7.5,WDI Data
74,9,2014,12.5,WDI Data
74,10,2018,0.0,WDI Data
74,12,2017,97.6,WDI Data
75,3,2017,96.0,WDI Data
75,4,2015,31.3,WDI Data
75,7,2016,11.1,WDI Data
75,8,2017,8.1,WDI Data
75,9,2014,1.4,WDI Data
75,10,2018,1.0,WDI Data
75,11,2015,2.3,WDI Data
75,12,2017,50.0,WDI Data
76,1,2017,99.6,WDI Data
76,2,2017,99.2,WDI Data
76,3,2017,100.0,WDI Data
76,4,2015,43.2,WDI Data
76,5,2015,2.9,WDI Data
76,7,2016,5.9,WDI Data
76,8,2017,10.2,WDI Data
76,9,2014,8.7,WDI Data
76,10,2018,14.2,WDI Data
76,11,2015,1.5,WDI Data
76,12,2017,87.5,WDI Data
77,1,2017,97.9,WDI Data
77,2,2017,88.4,WDI Data
77,3,2017,100.0,WDI Data
77,4,2015,13.5,WDI Data
77,5,2015,2.3,WDI Data
77,7,2016,11.9,WDI Data
77,8,2017,9.3,WDI Data
77,9,2014,4.6,WDI Data
77,10,2018,33.2,WDI Data
77,11,2015,1.6,WDI Data
77,12,2017,80.5,WDI Data
79,3,2017,100.0,WDI Data
79,4,2015,9.8,WDI Data
79,9,2014,3.0,WDI Data
79,10,2018,0.0,WDI Data
79,12,2017,72.7,WDI Data
81,3,2017,92.2,WDI Data
81,4,2015,82.0,WDI Data
81,6,2014,37.0,WDI Data
81,7,2016,43.7,WDI Data
81,9,2014,2.8,WDI Data
81,10,2018,25.1,WDI Data
81,12,2017,62.0,WDI Data
82,3,2017,56.2,WDI Data
82,4,2015,51.5,WDI Data
82,6,2014,34.8,WDI Data
82,7,2016,32.6,WDI Data
82,9,2014,0.3,WDI Data
82,10,2018,1.4,WDI Data
82,12,2017,19.8,WDI Data
83,1,2017,80.0,WDI Data
83,2,2017,27.2,WDI Data
83,3,2017,100.0,WDI Data
83,4,2015,28.7,WDI Data
83,5,2015,0.3,WDI Data
83,7,2016,21.8,WDI Data
83,8,2017,12.5,WDI Data
83,9,2014,2.4,WDI Data
83,10,2018,6.4,WDI Data
83,11,2015,1.0,WDI Data
83,12,2017,59.7,WDI Data
84,1,2017,99.8,WDI Data
84,2,2017,97.2,WDI Data
84,3,2017,100.0,WDI Data
84,4,2015,14.2,WDI Data
84,5,2015,2.9,WDI Data
84,7,2016,11.9,WDI Data
84,8,2017,14.1,WDI Data
84,9,2014,8.9,WDI Data
84,10,2018,38.8,WDI Data
84,11,2015,0.8,WDI Data
84,12,2017,84.4,WDI Data
85,1,2017,36.4,WDI Data
85,3,2017,79.0,WDI Data
85,4,2015,41.4,WDI Data
85,6,2014,37.9,WDI Data
85,7,2016,36.3,WDI Data
85,8,2017,-8.4,WDI Data
85,9,2014,0.5,WDI Data
85,10,2018,7.8,WDI Data
85,11,2015,1.9,WDI Data
85,12,2017,39.0,WDI Data
87,1,2017,100.0,WDI Data
87,2,2017,90.4,WDI Data
87,3,2017,100.0,WDI Data
87,4,2015,17.2,WDI Data
87,5,2015,1.0,WDI Data
87,7,2016,16.3,WDI Data
87,8,2017,-3.1,WDI Data
87,9,2014,6.2,WDI Data
87,10,2018,11.0,WDI Data
87,11,2015,0.8,WDI Data
87,12,2017,70.5,WDI Data
88,1,2017,96.7,WDI Data
88,2,2017,94.8,WDI Data
88,3,2017,100.0,WDI Data
88,4,2015,15.5,WDI Data
88,7,2016,11.6,WDI Data
88,9,2014,9.0,WDI Data
88,10,2018,22.4,WDI Data
88,11,2015,7.1,WDI Data
88,12,2017,69.5,WDI Data
89,1,2017,87.1,WDI Data
89,3,2017,94.7,WDI Data
89,4,2015,10.9,WDI Data
89,7,2016,22.9,WDI Data
89,9,2014,2.2,WDI Data
89,10,2018,0.2,WDI Data
89,11,2015,5.6,WDI Data
89,12,2017,59.1,WDI Data
